t,n_satellites,gdop,pdop,hdop,vdop,mean_cn0_db_hz,min_elevation_deg,mean_elevation_deg,position_error_m
0.0,7,2.978686094129477,2.514954658463566,1.867770037912062,1.6841710185149148,32.042857142857144,19.83588279701088,43.77630075082897,38.4686594697414
1.0,7,2.3368184023917675,2.0927231617484745,1.4046108604118817,1.5513086612700664,31.214285714285715,4.479928644394804,37.651374963820096,38.36130473526967
2.0,6,3.191535532394156,2.724343485954844,1.9342231225356292,1.9185484986606702,34.63333333333333,19.82595360230115,43.17887587354098,37.97122596488332
3.0,8,2.0740979070095764,1.829616644050131,1.2740172943892407,1.3131553593472411,30.400000000000002,4.490740980238545,38.86631757622041,47.38046034627658
4.0,7,2.978920992913441,2.5151071727474474,1.8676382806219665,1.6845448474769327,33.18571428571429,19.81604053521588,43.77737885451802,32.781938017607246
5.0,7,2.978979333046997,2.5151450173998087,1.867605364399491,1.684637842806972,31.28571428571429,19.81108216548313,43.77764902001561,38.511595757162524
6.0,8,2.074314347181071,1.8297710636365314,1.273863269000066,1.3135198960099648,30.174999999999997,4.506936101195588,38.86904691087308,52.64446504792965
7.0,7,2.9790955506510732,2.515220365046932,1.8675395594670308,1.6848232781429957,32.614285714285714,19.8011579309702,43.77818487158316,32.342932518895246
8.0,7,2.9791534277473604,2.5152578677421613,1.867506670673235,1.6849157178416412,33.72857142857143,19.79620257560105,43.778456348828186,35.78175907468631
9.0,7,2.979211150171586,2.51529525618668,1.8674737909432162,1.6850079720687934,33.75714285714286,19.79124588986979,43.77872505868307,29.426706537643977
10.0,7,2.9792687177206436,2.515332530220492,1.8674409202478774,1.6851000406412617,33.1,19.78630382860214,43.77900104699948,29.912599855540016
11.0,7,2.9793261302425647,2.515369689719265,1.8674080585489568,1.6851919234392285,32.9,19.78135771261704,43.77927583334015,31.482337119590536
12.0,7,2.979383387565094,2.515406734545282,1.8673752058253366,1.6852836203038764,32.57142857142857,19.77639428761904,43.77954027763415,33.122333577009066
13.0,7,2.979440489491387,2.5154436645410296,1.8673423620097325,1.685375131097975,33.22857142857143,19.77144520905884,43.779811377096266,28.82802169896711
14.0,7,2.9794974358836086,2.5154804795947934,1.8673095270971471,1.685466455683613,32.94285714285714,19.766482816294875,43.78007914717394,35.069804149822936
15.0,7,2.979554226529845,2.5155171795363622,1.8672767010398827,1.685557593882863,33.0,19.761541099043523,43.780350650946176,34.31029782907472
16.0,7,2.9796108613130015,2.5155537642700145,1.867243883815959,1.6856485456004562,32.385714285714286,19.756578384361543,43.78061483034436,33.79191596457942
17.0,7,2.9796673400076656,2.515590233617951,1.8672110753783755,1.6857393106463254,33.542857142857144,19.75163871312768,43.78088950843674,46.559075918099
18.0,7,2.9797236624699415,2.5156265874615413,1.8671782756921342,1.6858298889053867,33.042857142857144,19.74670140933281,43.781160993528296,48.142130400987895
19.0,8,2.0752497731594817,1.8304384468696469,1.2732002545569374,1.3150916392307856,31.7875,4.577231774441095,38.880894901564226,32.99354360297623
20.0,8,2.0753215576421113,1.8304896613782622,1.2731495514201483,1.3152120057737386,32.987500000000004,4.582642448308339,38.881804176669164,34.15304289642992
21.0,7,2.9798916907191724,2.515734954570855,1.8670799288067943,1.6861005014815806,34.82857142857143,19.73184010344566,43.78195726365231,38.896352519796665
22.0,7,2.9799473865357085,2.5157708450201826,1.867047163804065,1.6861903311265785,35.457142857142856,19.726882150710203,43.782220868758984,35.70423837656613
23.0,7,2.9800029252471254,2.515806619265081,1.8670144073749908,1.6862799732524274,35.34285714285714,19.72191195862461,43.782475770750786,38.833795735374
24.0,7,2.980058306724924,2.5158422771994418,1.866981659500079,1.6863694277454164,35.114285714285714,19.7169362516647,43.78272980590486,32.10838259354953
25.0,7,2.980113530754984,2.5158778186546633,1.8669489201344807,1.6864586944266504,35.25714285714286,19.7119775366196,43.78298832837835,30.20657577892218
26.0,7,2.980168597191966,2.515913243511147,1.8669161892520747,1.6865477731695866,34.45714285714286,19.70701746553713,43.78324781771689,28.037893108887456
27.0,8,2.075823341924617,1.8308476541410128,1.2727958206958012,1.316052404539026,32.8375,4.620490807209329,38.888137334798095,47.65424752262516
28.0,8,2.0758949230665107,1.8308987221773518,1.2727454578753197,1.3161721507190474,33.175,4.625909166139506,38.88905028957189,62.44363106464805
29.0,8,2.075966478314224,1.8309497715032856,1.2726951375847873,1.3162918189124984,33.3,4.631316677239648,38.889958984609805,45.97440958223365
30.0,8,2.0760380075202374,1.8310008019990616,1.2726448598019178,1.316411408998328,32.7375,4.636734680813755,38.89085410263335,84.67140397214229
31.0,8,2.076109510626523,1.831051813610385,1.272594624557879,1.3165309208948615,32.9625,4.6421448707873925,38.89176410025302,56.22969780879851
32.0,8,2.0761809874765405,1.8311028062108312,1.2725444318183685,1.3166503544833936,33.9875,4.647551426060438,38.89266979073797,62.20426467019663
33.0,7,2.980549635209033,2.5161579411692414,1.8666873076462451,1.6871660500322572,35.9,19.67234811738973,43.78507707948295,36.59200471478296
34.0,7,2.980603434751909,2.5161924283005495,1.8666546433777278,1.6872536201156552,34.95714285714285,19.667396608375785,43.785335788316594,31.96991389293433
35.0,7,2.980657075195584,2.516226797621927,1.8666219872871015,1.6873410009974414,35.642857142857146,19.662439845514907,43.78559337442649,31.54785242683046
36.0,7,2.980710556351091,2.5162610489827397,1.8665893393433406,1.6874281925099828,35.714285714285715,19.657469206728447,43.785843202499564,29.707823762539174
37.0,7,2.980763878059937,2.516295182255054,1.8665566995106313,1.6875151945247706,36.34285714285714,19.652510245658465,43.786097906324926,27.815881423788237
38.0,7,2.980817040148252,2.516329197299496,1.8665240677486943,1.6876020069011515,35.65714285714286,19.64756418895225,43.7863543465104,35.34977558792954
39.0,7,2.980870042438843,2.516363093973922,1.8664914440225406,1.6876886294884674,36.357142857142854,19.64260328244592,43.78660933888288,28.338607237279856
40.0,7,2.9809228847856573,2.516396872159383,1.8664588283147558,1.6877750621511847,35.15714285714286,19.637654195281065,43.7868639145563,28.897290023188752
41.0,8,2.0768230802678604,1.8315608695180607,1.2720946097980552,1.3177217166277897,33.7875,4.696259164622213,38.900759118024624,33.333581807152406
42.0,7,2.9810280889597887,2.516464072513642,1.8663936207865437,1.687947357158759,35.58571428571428,19.62772471737087,43.78736402982532,26.221154821567527
43.0,7,2.9810804504490958,2.51649749441049,1.8663610289039498,1.6880332192118923,35.7,19.62278604503392,43.787627479031016,32.511842175446816
44.0,7,2.9811326513040903,2.516530797264775,1.8663284448832584,1.6881188907780529,35.957142857142856,19.617821446373377,43.78787554448212,23.504765868739188
45.0,7,2.981184691392155,2.516563980968484,1.86629586871552,1.6882043717285315,35.128571428571426,19.61286128950889,43.78812844113646,24.990609763068026
46.0,7,2.9812365705204584,2.5165970453674977,1.8662633003593074,1.688289661901774,35.57142857142857,19.60793274429632,43.78839187273869,31.701052561092663
47.0,7,2.981288288540964,2.5166299903423024,1.8662307397749718,1.6883747611858153,35.17142857142857,19.60296014792168,43.78863539480334,31.527947229667657
48.0,7,2.9813398452722453,2.516662815747662,1.8661981869362856,1.6884596694154916,35.51428571428571,19.598014365336915,43.78889094860218,35.331170128498584
49.0,7,2.9813912405632985,2.5166955214614593,1.866165641802137,1.6885443864765246,34.971428571428575,19.593063987535803,43.7891455520602,38.694193484566064
50.0,7,2.981442474217103,2.5167281073272156,1.8661331043416445,1.6886289121920919,34.32857142857143,19.58811043766508,43.789396379464506,41.76678218482306
