satellite_id,type,t,x,y,z,azimuth_deg,elevation_deg,mask_angle_deg,visible,visibility_reason,true_range_m,pseudorange_m,cn0_db_hz,doppler_hz,label
IRNSS-1C,GEO,0.0,5138498.995334639,41849715.9378047,0.0,170.39428138850374,49.903315596836336,9.18297838042972,True,visible,37075917.88201372,37075916.699084215,48.32200434671273,,clean
IRNSS-1C,GEO,30.0,5138498.425414786,41849716.00778205,0.0,170.39428002400336,49.903315474887194,9.182978156052629,True,visible,37075917.88975145,37075920.61709685,47.649653745107074,-3.6385276882067137,clean
IRNSS-1C,GEO,60.0,5138497.855494933,41849716.0777594,0.0,170.394278659503,49.90331535293804,9.182977931675548,True,visible,37075917.89748919,37075916.0386627,48.544871387522385,-3.0031310191510845,clean
IRNSS-1C,GEO,90.0,5138497.285575078,41849716.14773674,0.0,170.3942772950026,49.903315230988866,9.182977707298473,True,visible,37075917.90522693,37075917.83560332,48.63992813920659,-1.4730279522875986,clean
IRNSS-1C,GEO,120.0,5138496.715655221,41849716.217714064,0.0,170.39427593050223,49.90331510903969,9.182977482921409,True,visible,37075917.91296466,37075919.36895462,47.19412817807587,-0.26065249330398327,clean
IRNSS-1C,GEO,150.0,5138496.145735364,41849716.28769141,0.0,170.39427456600185,49.90331498709048,9.18297725854435,True,visible,37075917.92070241,37075918.80513878,47.51855601036346,0.7752616927591248,clean
IRNSS-1C,GEO,180.0,5138495.575815507,41849716.35766871,0.0,170.3942732015015,49.90331486514127,9.182977034167305,True,visible,37075917.928440146,37075921.19884081,48.23356595677009,0.6483511555242341,clean
IRNSS-1C,GEO,210.0,5138495.005895649,41849716.427646026,0.0,170.39427183700116,49.90331474319203,9.182976809790269,True,visible,37075917.93617789,37075921.030058146,48.01152445040646,2.2331994710040073,clean
IRNSS-1C,GEO,240.0,5138494.43597579,41849716.497623324,0.0,170.39427047250084,49.90331462124277,9.182976585413245,True,visible,37075917.94391563,37075922.18097007,48.16124515921794,2.2959784452526466,clean
IRNSS-1C,GEO,270.0,5138493.866055927,41849716.567600615,0.0,170.3942691080005,49.903314499293494,9.182976361036225,True,visible,37075917.95165337,37075921.913874604,47.7431237655751,-1.745782368495641,clean
IRNSS-1C,GEO,300.0,5138493.296136065,41849716.6375779,0.0,170.39426774350017,49.903314377344216,9.182976136659217,True,visible,37075917.95939111,37075922.67650535,48.609344708185134,0.4761400681928872,clean
IRNSS-1C,GEO,330.0,5138492.726216204,41849716.707555175,0.0,170.39426637899987,49.9033142553949,9.182975912282224,True,visible,37075917.96712886,37075920.46340054,48.55854167986,-1.696675248326321,clean
IRNSS-1C,GEO,360.0,5138492.156296341,41849716.77753245,0.0,170.39426501449955,49.90331413344557,9.182975687905234,True,visible,37075917.974866614,37075921.0646398,48.202661052317936,-0.3775062305643672,clean
IRNSS-1C,GEO,390.0,5138491.586376475,41849716.847509705,0.0,170.39426364999926,49.90331401149624,9.182975463528255,True,visible,37075917.982604355,37075921.47670639,48.73326629841318,0.6425705861889341,clean
IRNSS-1C,GEO,420.0,5138491.016456611,41849716.917486966,0.0,170.39426228549894,49.90331388954689,9.18297523915128,True,visible,37075917.99034211,37075920.76564502,48.40340035744698,-6.818436306800615,clean
IRNSS-1C,GEO,450.0,5138490.446536746,41849716.987464204,0.0,170.39426092099868,49.9033137675975,9.182975014774323,True,visible,37075917.998079844,37075919.72615199,47.73999944627115,4.821475928345903,clean
IRNSS-1C,GEO,480.0,5138489.876616878,41849717.05744146,0.0,170.3942595564984,49.90331364564811,9.182974790397374,True,visible,37075918.005817614,37075919.85973169,48.354021061145815,1.1318051989885378,clean
IRNSS-1C,GEO,510.0,5138489.306697009,41849717.12741868,0.0,170.39425819199812,49.903313523698706,9.18297456602043,True,visible,37075918.013555355,37075918.9246703,47.69020436008187,-1.1924187027348672,clean
IRNSS-1C,GEO,540.0,5138488.736777141,41849717.19739589,0.0,170.39425682749786,49.90331340174928,9.182974341643497,True,visible,37075918.021293096,37075921.340684935,48.60887080254181,3.853727358552401,clean
IRNSS-1C,GEO,570.0,5138488.1668572705,41849717.26737312,0.0,170.39425546299762,49.90331327979984,9.182974117266578,True,visible,37075918.02903087,37075920.34631694,48.144682687786855,-0.6958744967788012,clean
IRNSS-1C,GEO,600.0,5138487.596937399,41849717.33735033,0.0,170.39425409849736,49.90331315785037,9.182973892889663,True,visible,37075918.03676862,37075919.24792263,48.07721445289915,0.2640266177988816,clean
IRNSS-1C,GEO,630.0,5138487.027017526,41849717.40732752,0.0,170.39425273399712,49.903313035900894,9.182973668512759,True,visible,37075918.04450636,37075919.257465705,47.829180853861615,-0.9752437727033099,clean
IRNSS-1C,GEO,660.0,5138486.457097654,41849717.47730472,0.0,170.39425136949686,49.9033129139514,9.182973444135857,True,visible,37075918.052244134,37075918.19989296,48.780916286792404,3.302971519080266,clean
IRNSS-1C,GEO,690.0,5138485.88717778,41849717.547281906,0.0,170.39425000499665,49.90331279200189,9.182973219758978,True,visible,37075918.0599819,37075922.462312534,48.09238086781279,-0.21098156744358396,clean
IRNSS-1C,GEO,720.0,5138485.317257905,41849717.617259085,0.0,170.39424864049641,49.90331267005237,9.182972995382098,True,visible,37075918.06771966,37075920.72050928,47.95548168915744,0.29795604664719527,clean
IRNSS-1C,GEO,750.0,5138484.747338029,41849717.68723624,0.0,170.39424727599624,49.90331254810281,9.182972771005236,True,visible,37075918.07545741,37075918.89864744,47.99357881638668,2.406552153168248,clean
IRNSS-1C,GEO,780.0,5138484.177418154,41849717.757213406,0.0,170.39424591149603,49.90331242615325,9.18297254662838,True,visible,37075918.08319517,37075922.154568486,48.435800175799244,1.16926676009033,clean
IRNSS-1C,GEO,810.0,5138483.607498275,41849717.827190556,0.0,170.39424454699582,49.903312304203666,9.18297232225153,True,visible,37075918.090932935,37075919.50172787,48.35236760659642,-0.10970828509996708,clean
IRNSS-1C,GEO,840.0,5138483.0375783965,41849717.897167705,0.0,170.39424318249564,49.903312182254076,9.182972097874693,True,visible,37075918.0986707,37075917.865204975,48.37601187160417,2.219769789883103,clean
IRNSS-1C,GEO,870.0,5138482.467658516,41849717.96714484,0.0,170.39424181799544,49.90331206030446,9.182971873497861,True,visible,37075918.10640846,37075922.59110443,48.38505605870189,5.075954304024081,clean
IRNSS-1C,GEO,900.0,5138481.8977386365,41849718.03712198,0.0,170.39424045349529,49.903311938354825,9.182971649121045,True,visible,37075918.11414624,37075919.5703243,49.240469349024984,0.6338087408178409,clean
IRNSS-1C,GEO,930.0,5138481.327818756,41849718.1070991,0.0,170.3942390889951,49.90331181640518,9.182971424744235,True,visible,37075918.121884,37075919.82720846,47.966438031789224,0.23250802091330958,clean
IRNSS-1C,GEO,960.0,5138480.757898873,41849718.17707622,0.0,170.39423772449496,49.90331169445552,9.182971200367435,True,visible,37075918.12962178,37075920.709653154,47.91352416683757,0.3402420104571613,clean
IRNSS-1C,GEO,990.0,5138480.1879789885,41849718.24705332,0.0,170.39423635999478,49.903311572505835,9.182970975990639,True,visible,37075918.137359545,37075922.85792627,47.76275915864117,2.619846846831212,clean
