t,satellite_id,visible,azimuth_deg,elevation_deg,fusion_spoof_prob
0.0,IRNSS-1C,True,170.39428138850374,49.903315596836336,
0.0,IRNSS-1E,True,129.55929660317395,36.21284260924154,
0.0,IRNSS-1F,True,240.78499060944608,28.10069597736304,
0.0,IRNSS-1B,True,216.5498054828961,43.55348704632834,
0.0,IRNSS-1D,True,170.44325409621592,34.1354030286399,
0.0,IRNSS-1G,True,168.2263906681242,66.01841924200582,
0.0,IRNSS-1I,False,226.92608732175614,-0.9726997947949803,
30.0,IRNSS-1C,True,170.39428002400336,49.903315474887194,
30.0,IRNSS-1E,True,129.55929577848985,36.21284206207545,
30.0,IRNSS-1F,True,240.78498994425772,28.10069658466564,
30.0,IRNSS-1B,True,216.61753125615283,43.60389956934329,
30.0,IRNSS-1D,True,170.44440516166577,34.195518320972546,
30.0,IRNSS-1G,True,168.2235477634857,66.08213292505022,
30.0,IRNSS-1I,False,226.91467048659587,-0.9618116846065203,
60.0,IRNSS-1C,True,170.394278659503,49.90331535293804,5.671776796121845e-05
60.0,IRNSS-1E,True,129.55929495380576,36.21284151490937,1.5298750112417982e-05
60.0,IRNSS-1F,True,240.78498927906935,28.10069719196825,1.746933060954674e-05
60.0,IRNSS-1B,True,216.68538315132406,43.654273254462154,1.3498636702193425e-05
60.0,IRNSS-1D,True,170.44562354445455,34.25571079606932,1.4041976636318365e-05
60.0,IRNSS-1G,True,168.2205546351366,66.14577622581903,1.4215266638416342e-05
60.0,IRNSS-1I,False,226.90335763074228,-0.9508158467823793,
90.0,IRNSS-1C,True,170.3942772950026,49.903315230988866,3.668562800848102e-05
90.0,IRNSS-1E,True,129.5592941291217,36.21284096774328,1.952210310022158e-05
90.0,IRNSS-1F,True,240.78498861388096,28.10069779927085,5.453121966009206e-05
90.0,IRNSS-1B,True,216.75336094598833,43.70460787674071,1.9531608726112644e-05
90.0,IRNSS-1D,True,170.44690926045268,34.31598017731687,1.9981940175916412e-05
90.0,IRNSS-1G,True,168.21740982707396,66.20934878303103,2.3064364988670274e-05
90.0,IRNSS-1I,False,226.89214897034557,-0.93971247190961,
120.0,IRNSS-1C,True,170.39427593050223,49.90331510903969,2.1231644850315903e-05
120.0,IRNSS-1E,True,129.55929330443763,36.21284042057718,2.204214469017226e-05
120.0,IRNSS-1F,True,240.78498794869253,28.100698406573446,4.315619796246339e-05
120.0,IRNSS-1B,True,216.82146441580443,43.754903212051,2.116218276749729e-05
120.0,IRNSS-1D,True,170.4482623249134,34.37632618787143,2.7740185990411493e-05
120.0,IRNSS-1G,True,168.21411187348585,66.27285023487617,2.3070262588678474e-05
120.0,IRNSS-1I,False,226.8810447209162,-0.9285017513886548,
150.0,IRNSS-1C,True,170.39427456600185,49.90331498709048,2.8031396430102764e-05
150.0,IRNSS-1E,True,129.55929247975357,36.21283987341108,1.521562767949035e-05
150.0,IRNSS-1F,True,240.7849872835041,28.10069901387605,1.5790501044969653e-05
150.0,IRNSS-1B,True,216.88969333450447,43.80515903708534,2.1649478180154716e-05
150.0,IRNSS-1D,True,170.4496827524729,34.43674855065996,1.6569937666078588e-05
150.0,IRNSS-1G,True,168.21065929869292,66.33628021900928,1.5250890462784949e-05
150.0,IRNSS-1I,False,226.87004509732122,-0.9171838774301189,
180.0,IRNSS-1C,True,170.3942732015015,49.90331486514127,1.626973376539746e-05
180.0,IRNSS-1E,True,129.55929165506956,36.21283932624497,1.107749637956833e-05
180.0,IRNSS-1F,True,240.78498661831568,28.100699621178638,1.1091852358103279e-05
180.0,IRNSS-1B,True,216.95804747388692,43.85537512936051,1.3059999915065506e-05
180.0,IRNSS-1D,True,170.45117055715033,34.49724698838129,2.2023349402842392e-05
180.0,IRNSS-1G,True,168.2070506170899,66.39963837254359,1.9881514979232897e-05
180.0,IRNSS-1I,False,226.8591503137803,-0.9057590430515806,
210.0,IRNSS-1C,True,170.39427183700116,49.90331474319203,1.1465183235724624e-05
210.0,IRNSS-1E,True,129.55929083038555,36.21283877907885,3.885747877686435e-05
210.0,IRNSS-1F,True,240.78498595312726,28.10070022848123,2.2120716576270758e-05
210.0,IRNSS-1B,True,217.02652660380997,43.90555126722182,0.00010035673133746881
210.0,IRNSS-1D,True,170.45272575234785,34.55782122350715,2.281005434623234e-05
210.0,IRNSS-1G,True,168.20328433308697,66.4629243320443,1.1429453323342728e-05
210.0,IRNSS-1I,False,226.84836058386233,-0.8942274420742921,
